Sentence,Entities
(10),"('10', 'CARDINAL')"
(11),"('11', 'CARDINAL')"
(13),"('13', 'CARDINAL')"
(16),"('16', 'CARDINAL')"
(17),"('17', 'CARDINAL')"
(3),"('3', 'CARDINAL')"
(31),"('31', 'CARDINAL')"
(33),"('33', 'CARDINAL')"
(37),"('37', 'CARDINAL')"
(38),"('38', 'CARDINAL')"
(44),"('44', 'CARDINAL')"
(45),"('45', 'CARDINAL')"
(55),"('55', 'CARDINAL')"
(75),"('75', 'CARDINAL')"
"A Roman praefect was
 seated on the splendid throne of the Ptolemies; and the iron
 sceptre of the Mamalukes is now in the hands of a Turkish
 pasha.","('Roman', 'NORP'), ('Ptolemies', 'NORP'), ('Mamalukes', 'NORP'), ('Turkish', 'NORP')"
"A city
 of their foundation may still be discovered near Mequinez,
 the residence of the barbarian whom we condescend to style
 the Emperor of Morocco; but it does not appear that his more
 southern dominions, Morocco itself, and Segelmessa, were
 ever comprehended within the Roman province.","('Mequinez', 'GPE'), ('Morocco', 'GPE'), ('Morocco', 'GPE'), ('Segelmessa', 'GPE'), ('Roman', 'NORP')"
"A favourable inference was drawn from his
 obstinacy, which was interpreted by the augurs as a sure
 presage that the boundaries of the Roman power would never
 recede. (22)","('Roman', 'NORP'), ('22', 'CARDINAL')"
"A sandy desert alike destitute of wood and water skirts  along the doubtful confine of Syria, from the Euphrates to the Red Sea.","('Syria', 'GPE'), ('Euphrates', 'LOC'), ('the Red Sea', 'LOC')"
"Above
 twenty thousand chosen soldiers, distinguished by the titles
 of City Cohorts and Praetorian Guards, watched over the
 safety of the monarch and the capital.","('twenty thousand', 'CARDINAL'), ('City Cohorts', 'ORG'), ('Praetorian Guards', 'ORG')"
"Across the narrow interval of about
 forty miles, he had drawn a line of military stations, which
 was afterwards fortified in the reign of Antoninus Pius, by
 a turf rampart erected on foundations of stone.","('about\r\n forty miles', 'QUANTITY'), ('Antoninus Pius', 'PERSON')"
"Africa
 From Cyrene to the ocean, the coast of Africa extends above
 fifteen hundred miles; yet so closely is it pressed between
 the Mediterranean and the Sahara, or sandy desert, that its
 breadth seldom exceeds fourscore or an hundred miles.","('Africa', 'LOC'), ('Cyrene', 'LOC'), ('Africa', 'LOC'), ('fifteen hundred miles', 'QUANTITY'), ('Mediterranean', 'LOC'), ('Sahara', 'LOC'), ('an hundred miles', 'QUANTITY')"
"After
 every qualification of property had been laid aside, the
 armies of the Roman emperors were still commanded, for the
 most part, by officers of a liberal birth and education, but
 the common soldiers, like the mercenary troops of modern
 Europe, were drawn from the meanest, and very frequently
 from the most profligate, of mankind.","('Roman', 'NORP'), ('Europe', 'LOC')"
"After a war of about forty years,
 undertaken by the most stupid, maintained by the most
 dissolute, and terminated by the most timid of all the
 emperors, the far greater part of the island submitted to
 the Roman yoke. (7)","('about forty years', 'DATE'), ('Roman', 'NORP'), ('7', 'CARDINAL')"
"After their
 submission they constituted the western division of the
 European provinces, which extended from the columns of
 Hercules to the wall of Antoninus and from the mouth of the
 Tagus to the sources of the Rhine and Danube.","('European', 'NORP'), ('Hercules', 'LOC'), ('Antoninus', 'GPE'), ('Tagus', 'NORP'), ('Rhine', 'LOC'), ('Danube', 'LOC')"
"All these were included under
 the general name of auxiliaries; and howsoever they might
 vary according to the difference of times and circumstances,
 their numbers were seldom much inferior to those of the
 legions themselves. (57)","('57', 'CARDINAL')"
