Sentence,Entities
(10),"('10', 'CARDINAL')"
(11),"('11', 'CARDINAL')"
A female prophetess  was attracted by his reputation; the decencies of words and actions were spurned by these favourites of Heaven; (2) and they employed several days in mystic and amorous converse.,"('2', 'CARDINAL'), ('several days', 'DATE')"
"A small and faithful
 band of his primitive disciples had listened to his
 eloquence, and shared his distress; had fled with the
 apostle from the persecution of Mecca, or had received the
 fugitive in the walls of Medina.","('Mecca', 'GPE'), ('Medina', 'GPE')"
"After a century of ignorance, the first annals of the Mussulmans were collected in a great measure from the voice of tradition.","('a century', 'DATE'), ('first', 'ORDINAL'), ('Mussulmans', 'NORP')"
"After exhorting the Moslems to confide in the aid of God and his apostle, Abubeker resolved, by a vigorous attack, to prevent the junction of the rebels.","('Moslems', 'NORP'), ('Abubeker', 'PERSON')"
"Among the numerous productions of Arabic and Persian literature, (12) our interpreters have selected the imperfect sketches of a more recent age. (13)","('Arabic', 'LANGUAGE'), ('Persian', 'NORP'), ('12', 'CARDINAL'), ('13', 'CARDINAL')"
"An obscure sentence of his Koran, or book, is yet extant; (3) and in the pride of his mission, Moseilama condescended to offer a partition of the earth.","('Koran', 'WORK_OF_ART'), ('Moseilama', 'PERSON')"
"At the head of the fugitives and
 auxiliaries, the first caliph was reduced to the cities of
 Mecca, Medina, and Tayef; and perhaps the Koreish would have
 restored the idols of the Caaba, if their levity had not been checked by a seasonable reproof.","('first', 'ORDINAL'), ('Mecca', 'GPE'), ('Medina', 'GPE'), ('Tayef', 'GPE'), ('Koreish', 'NORP'), ('Caaba', 'PRODUCT')"
"Careless of his own emolument, he assigned to
 Abbas, the uncle of the prophet, the first and most ample
 allowance of twenty-five thousand drachms or pieces of
 silver.","('Abbas', 'PERSON'), ('first', 'ORDINAL'), ('twenty-five thousand', 'CARDINAL')"
"Character of their caliphs
 From the rapid conquests of the Saracens a presumption will
 naturally arise, that the caliphs  commanded in person the armies of the faithful, and sought the crown of martyrdom in the foremost ranks of the battle.","('Saracens', 'NORP')"
"Except the presence of
 Omar at the siege of Jerusalem, their longest expeditions
 were the frequent pilgrimage from Medina to Mecca; and they
 calmly received the tidings of victory as they prayed or
 preached before the sepulchre of the prophet.","('Omar', 'PERSON'), ('Jerusalem', 'GPE'), ('Medina', 'GPE'), ('Mecca', 'GPE')"
"Five thousand were allotted to each of the aged
 warriors, the relics of the field of Beder; and the last and
 meanest of the companions of Mahomet was distinguished by
 the annual reward of three thousand pieces.","('Five thousand', 'CARDINAL'), ('Beder', 'PERSON'), ('Mahomet', 'PERSON'), ('annual', 'DATE'), ('three thousand', 'CARDINAL')"
"He thought
 himself entitled to a stipend of three pieces of gold, with
 the sufficient maintenance of a single camel and a black
 slave; but on the Friday of each week he distributed the
 residue of his own and the public money, first to the most
 worthy, and then to the most indigent, of the Moslems.","('three', 'CARDINAL'), ('the Friday of each week', 'DATE'), ('first', 'ORDINAL'), ('Moslems', 'NORP')"
"In the
 sloth and vanity of the palace of Damascus, the succeeding
 princes of the house of Ommiyah were alike destitute of the
 qualifications of statesmen and of saints.","('Damascus', 'GPE'), ('Ommiyah', 'GPE')"
