,0,1,2,3,4,5,6,7,8,9,10,11
0,nations,omar,orthodox,persian,elagabalus,patriarch,persian,purple,gainas,italy,asia,vatican
1,province,ali,theodosius,gaul,gordian,holy,antonina,italy,minister,gaul,anatolia,church
2,germany,god,spiritual,libanius,guards,byzantine,italy,emperors,radagaisus,gothic,constantinople,ursini
3,tribes,abu,religious,gods,macrinus,venetians,lombards,troops,troops,visigoths,janizaries,avignon
4,romans,arabian,zeal,march,alexander,france,king,crispus,constantinople,goths,mahomet,italy
5,tacitus,damascus,bishop,romans,praetorian,pope,romans,tiridates,claudian,placidia,mogul,petrarch
6,legions,moslems,christ,caesar,niger,andronicus,narses,magnentius,eutropius,genseric,zingis,peter
7,gaul,caled,christianity,troops,augustus,palaeologus,constantinople,maximin,gothic,king,moguls,romans
8,valerian,medina,athanasius,antioch,caracalla,michael,gothic,maxentius,goths,vandals,turks,capitol
9,probus,arabs,faith,tigris,marcus,french,theodora,maximian,arcadius,theodosius,amurath,st
10,danube,prophet,religion,jovian,maximin,greek,chosroes,constantius,alaric,theodoric,bajazet,popes
11,gallienus,mecca,christian,gallus,pertinax,alexius,totila,licinius,theodosius,valentinian,ottoman,cardinals
12,germans,saracens,bishops,sapor,commodus,latins,goths,galerius,rufinus,aetius,turkish,rienzi
13,goths,mahomet,christians,constantius,severus,greeks,belisarius,diocletian,honorius,huns,timour,pope
14,aurelian,caliph,church,julian,senate,constantinople,justinian,constantine,stilicho,attila,sultan,colonna
