,0,1,2,3,4,5,6,7,8,9,10,11
0,foretell,interested,ceres,invaded,tax,avenged,sighed,protracted,penance,sighed,children,mirth
1,liturgy,frontier,interrupted,intercourse,matrimonial,regulate,incoherent,department,regulate,incoherent,orator,confederacies
2,confederacies,regulate,instructors,protovestiare,bridegroom,hamadan,riper,discreet,lighted,riper,chalices,guilty
3,porphyry,inner,antipope,challenged,line,layman,ostensible,execrated,hainault,ostensible,native,patrimonial
4,touched,rescripts,protovestiare,arrived,secret,confederacies,dictated,chancellors,chancellors,dictated,division,flat
5,frontier,strenuously,loved,chalons,eager,carthaginian,corsi,solemnly,insulting,corsi,protracted,gallienus
6,bulky,azymites,appointing,enfranchised,praetor,outrages,promises,untimely,qualify,promises,belt,children
7,conducting,trophies,reprehensible,tardy,bow,attests,life,liable,derives,life,conducting,carpenter
8,institutes,aeneas,iran,guilty,rejoicing,mogul,dorylaeum,stern,ammonius,dorylaeum,utter,osrhoene
9,ricimer,chronological,brute,retract,magicians,loftiness,ambiguous,frequently,iran,ambiguous,protovestiare,regulate
10,intercourse,foretell,lose,snare,gallipoli,ordained,redeemer,institutes,closer,redeemer,challenged,gallipoli
11,frontiers,intercourse,appreciated,tanjous,expect,order,proculus,challenged,strengthened,proculus,execrated,inner
12,inner,fix,plurality,gallienus,amusement,ordeal,inches,descriptions,atmeidan,inches,chalons,patricians
13,regulate,hatchet,french,confederacies,confederacies,grandsire,milanese,protovestiare,ricimer,milanese,bench,services
14,synesius,astrologers,leather,gallipoli,conducting,chaldaeans,avowed,chalons,insuperable,avowed,chancellors,chancellors
