,0,1,2,3,4,5,6,7,8,9,10,11
0,empress,council,st,gods,jovian,day,seven,spain,koran,military,east,emperors
1,constantinople,christian,emperor,knowledge,libanius,arms,country,visigoths,thousand,emperors,tiridates,imperial
2,prince,alexandria,manuel,religious,march,victory,ancient,rhine,caled,power,asia,maximin
3,daughter,zeal,latin,mind,mind,barbarians,inhabitants,germany,abu,public,great,purple
4,wife,catholic,turkish,philosophy,soldiers,goths,silver,theodoric,moslems,freedom,artaxerxes,caesar
5,life,episcopal,alexius,truth,gallus,general,cities,franks,saracens,authority,heraclius,princes
6,valentinian,ecclesiastical,sultan,worship,army,battle,rome,italy,arabs,government,king,provinces
7,justinian,orthodox,pope,reason,prince,camp,miles,gothic,ali,civil,tigris,empire
8,throne,faith,turks,mankind,gaul,thousand,pounds,king,apostle,laws,euphrates,maxentius
9,father,bishop,france,world,emperor,soldiers,justinian,danube,medina,augustus,persians,maximian
10,palace,synod,french,divine,antioch,cavalry,capital,attila,caliph,people,armenia,licinius
11,death,clergy,latins,religion,caesar,enemy,sea,huns,god,republic,sapor,constantius
12,theodosius,athanasius,greek,nature,gods,belisarius,city,gaul,mecca,roman,chosroes,galerius
13,son,church,constantinople,christians,constantius,army,gold,goths,prophet,rome,persia,diocletian
14,emperor,bishops,greeks,human,julian,troops,thousand,barbarians,mahomet,senate,persian,constantine
